Field1,Time,Field2
 Three killed as car rams into bike and auto ,"TNN / Sep 12, 2021, 04:30 (IST)",  
" Eight killed, two injured in road accidents in Madhya Pradesh ","PTI / Jul 25, 2021, 11:20 (IST)"," Eight people were killed and two others injured in two road accidents at Bhopal and Singrauli in Madhya Pradesh on Sunday, police said. "
" Three killed, 15 hurt as bus crashes into stationary truck ","TNN / Aug 25, 2021, 04:48 (IST)",  
" 7 killed, 9 injured in road accidents in Assam ","PTI / Sep 11, 2021, 19:59 (IST)", ​​​Four people were killed and eight others injured when an ambulance collided with a tempo at Baihata Chariali in Kamrup (Rural) district late on Friday night. 
 25-yr-old Lucknow girl killed in car mishap on Goner road ,"TNN / Sep 30, 2021, 04:28 (IST)",  
 Two killed in separate accidents ,"TNN / Jul 26, 2021, 04:22 (IST)",  
" Gujarat: Four killed, seven injured in two separate accidents in Kheda ","TNN / Oct 01, 2021, 20:38 (IST)"," In two different accidents in Kheda city of Gujarat, four friends who were returning after visiting Ranuja temple were killed and one was injured when their car collided with a truck, while in the second incident, at least six persons were injured when a state transport bus hit a truck from behind. "
 Telangana: Kids of Narsingi crash victims face uncertain future ,"TNN / Dec 16, 2021, 04:30 (IST)"," A week after losing her parents in a drunk driving crash, 11-year-old Chandrika consoles her two-year-old brother Manideep that they will return in the evening bringing loads of snacks. This has been her routine for the past 10 days since the accident took place. Manideep isn’t aware what death even means. "
" 4 cops, including SI, killed in AP road accident "," Aug 24, 2021, 04:40 (IST)",  
 Two killed in separate accidents ,"TNN / Jul 24, 2021, 04:43 (IST)", Two persons died in separate accidents in Nashik city on Thursday. 
" Bengaluru: 7, including Tamil Nadu MLA's son, killed in car crash in Koramangala ","TNN / Aug 31, 2021, 08:39 (IST)"," Seven youth, including Tamil Nadu MLA's son, were killed in a car crash in Koramangala area of Bengaluru in the wee hours of Tuesday. Police said the accident occurred at around 1.30am when the Audi Q3 first rammed into a pavement and then dashed into a building. "
" Couple, both kids die as truck hits car head-on in MP ","TNN / Nov 26, 2021, 06:12 (IST)", A couple and their two children were killed when a truck rammed their car head-on in Satna district on Wednesday night. 
 Maharashtra: 13 labourers killed as vehicle overturns in Buldhana ,"TIMESOFINDIA.COM / Aug 20, 2021, 15:17 (IST)", At least 13 labourers were killed after a vehicle carrying them overturned in Maharashtra's Buldhana district on Friday. The incident took place near Dusarbid village at Tadegaon Phata on Sindkhedraja-Mehkar Road around 12 noon. 
 Two killed in road accident ,"TNN / Jul 26, 2021, 04:48 (IST)",  
 Visakhapatnam: Two youth killed in road accident ,"TNN / Aug 25, 2021, 22:12 (IST)"," Visakhapatnam, accident, Sriharipuram, Anandapuram, Gajuwaka police "
" Three killed, 14 trapped in canteen blast in China ","PTI / Jan 07, 2022, 21:13 (IST)"," Thirteen people had been pulled out from the debris, three of whom died during rescue efforts, state-run CGTN-TV quoted the on-site emergency response team as saying. The accident took place at 12:10 pm local time due to a suspected gas leakage. "
" 2 killed, 24 injured as bus overturns on Agra-Lucknow Expressway ","PTI / Aug 18, 2021, 11:57 (IST)"," A driver of a minibus was among two persons killed and 24 others injured when the vehicle overturned after hitting a divider on the Agra-Lucknow Expressway on Wednesday morning, police said. "
 One killed after car hits median ,"TNN / Jan 02, 2022, 03:49 (IST)"," Hyderabad: Six friends who went to celebrate a New Year party at an eatery in Pantancheru met with an accident after the car in which they were travelling hit a median. A resident of Tolichowki died, and the others sustained injuries. The victim is reportedly a software engineer. tnn "
 2 locals killed in Vaishno Devi stampede ,"TNN / Jan 02, 2022, 04:03 (IST)"," Two people from the city (Kanpur), both relatives, were among those killed in a stampede at Vaishno Devi temple in the early hours of Saturday.Vaishno Devi administration has sent information to the Kanpur district administration in this regard. "
 Eight killed in separate road mishaps in dists ,"TNN / Jan 02, 2022, 03:49 (IST)"," In various districts in Telangana, eight persons died in separate road accidents which took place between Friday evening and Saturday. In Zaheerabad, a car hit the bike of three members of a family on Saturday afternoon. "
 Coimbatore: Man killed as truck runs over him near Karamadai ,"TNN / Jul 31, 2021, 04:29 (IST)", A 36-year-old man was run over by a truck that knocked him down from his two-wheeler near Karamadai here on Thursday night. 
 Home guard killed in hit-and-run at Nigdi ,"TNN / Dec 14, 2021, 04:14 (IST)",  
" Woman killed, two injured as truck rams car in Sector 52 ","TNN / Sep 20, 2021, 07:35 (IST)",  
" ‘Speeding, drink driving leading to spike in accidents’ "," Nov 30, 2021, 05:00 (IST)",  
" Madhya Pradesh: Two killed, over 25 injured in bus-truck collision in Jhabua district ","PTI / Aug 26, 2021, 16:19 (IST)"," Two persons were killed and over 25 passengers injured when a bus collided with a wheat-laden truck on Bherughat in Madhya Pradesh's Jhabua district on Thursday, police said. "
 Three men die in separate road accidents in Bijnor on Saturday night ,"TNN / Nov 15, 2021, 04:16 (IST)"," Three persons died in two separate accidents in Bijnor on Saturday night. In the first accident, which took place at Malwa village under Shivala Kala police station jurisdiction, a speeding truck hit a rickshaw, killing two friends — Azad Ali (35) and Imran (30) — both residents of Daulatpur village. Police have impounded the truck and held the driver. "
 45 journalists killed in 2021: media watchdog ,"AFP / Dec 31, 2021, 21:24 (IST)",  
 Nashik: Bike-borne couple Killed in accident ,"TNN / Aug 03, 2021, 04:03 (IST)",  
 Five killed in jeep-motorcycle collision in UP's Sambhal ,"PTI / Aug 11, 2021, 18:24 (IST)"," Five people, including two minors, were killed in a collision between a jeep and a motorcycle in Sambhal on Wednesday, police said. "
" Karnataka: Truck falls on vehicles in outskirts of Bengaluru, six killed ","TNN / Jan 10, 2022, 20:55 (IST)"," At least six persons died and several others sustained injuries when a truck carrying jelly stones fell on moving vehicles on Bengaluru-Mysuru highway near Kumblagodu, outskirts of Bengaluru on Monday evening. "
" Ghaziabad: 75-year-old on bike hits truck on way home from hospital, dies ","TNN / Nov 22, 2021, 06:37 (IST)", A 75-year-old man was killed while his 30-year-old nephew was injured after their bike was hit by a truck in Muradnagar on Sunday. Locals and family members later staged a protest and refused to cremate the body of the victim. 
 Siblings Killed in accident on Yamuna Expressway in Mathura ,"TNN / Jul 17, 2021, 04:21 (IST)", A brother-sister duo died while their younger sister suffered injuries when their motorcycle rammed into a divider near milestone 114 on Yamuna Expressway in Mathura’s Mahavan area on Friday. They were heading towards Delhi. 
 Man Killed in accident in Nashik ,"TNN / Jul 19, 2021, 04:31 (IST)", A 50-year-old motorcyclist died after being knocked down by a speeding car coming from the opposite direction on the Wani-Dindori Road on Friday afternoon. 
 Kerala: Three youth killed in freak road accident in Alappuzha ,"TNN / Aug 23, 2021, 04:43 (IST)"," In a freak accident, three youths died after the scooter they were riding on went out of control and rammed into an electric post late on Saturday at Venmony in Alappuzha. "
 Civic staffer among two killed in hit-&-runs ,"TNN / Jan 05, 2022, 04:12 (IST)", A Pune Municipal Corporation (PMC) garbage department employee died after a speeding dumper truck hit a civic vehicle on Mohammadwadi-Undri Road in a hit-and-run case at 9.50am on Monday.The police impounded the dumper truck on Tuesday afternoon and are now tracking down the driver. 
" 1 dead, 5 injured in 4 accidents ","TNN / Nov 28, 2021, 04:01 (IST)",  
 Four killed in two separate road accidents in Saurashtra ,"TNN / Sep 01, 2021, 04:29 (IST)",  
" Uttar Pradesh: Couple killed in road accident, man electrocuted ","PTI / Jul 23, 2021, 20:03 (IST)"," A couple were crushed to death after a speeding bus hit their bike on Budhana-Kandhla road near Ghari Sakhawatpur village here on Friday, police said. "
 15 military chopper accidents since March 2017: Official data ,"PTI / Dec 17, 2021, 21:34 (IST)",  
 Bareilly: Two cousins on their way to meet relatives on Eid Killed in accident ,"TNN / Jul 23, 2021, 04:05 (IST)", Two cousins on their way to Pilibhit from Bareilly to meet their relatives on Eid were allegedly killed in a road accident on Wednesday night. 
" Chhattisgarh: Three dead, one injured as motorcycles collide ","PTI / Nov 20, 2021, 12:16 (IST)"," Three persons were killed and another one suffered injuries after two motorcycles collided on the outskirts of Raipur, police said on Saturday. "
" 2 killed, 10 injured in two separate road accidents in J&K's Udhampur ","ANI / Oct 10, 2021, 16:11 (IST)",  
" Biker, peacock killed in freak accident in Thrissur ","TNN / Aug 17, 2021, 10:29 (IST)"," In a freak accident, a 34-year-man lost his life when a flying peacock hit him while he was riding a bike, near Ayyanthole in the outskirts of Thrissur city on Monday. The bird also died on the spot. The deceased has been identified as Pramos, son of Peedikaparamil Mohanan of Punnayurkulam. "
" Telangana: Man dies, one injured as car rams into bus "," Dec 10, 2021, 04:50 (IST)"," A man was killed on the spot while his friend injured as their car rammed into a parked TSRTC hire bus at Auto Nagar in Warangal on Thursday morning. The deceased was H Puma Chandra(26), a resident of Lyadella village in Damera mandal in Warangal district. "
 Five killed as truck hits autorickshaw in Bihar's Araria ,"TNN / Aug 11, 2021, 04:10 (IST)"," At least five people, including three women and a minor boy, died and six others were injured when an autorickshaw they were travelling in was hit by a speeding truck on Araria-Purnia road under the Town police station area in Araria district on Monday. "
 CDS chopper crash: Sulur Base says two copters sent but Madras Regimental Centre denies it ,"TNN / Dec 10, 2021, 01:35 (IST)"," According to an official attached to Sulur air base, two small IAF choppers were sent to scout the route as part of protocol to gauge the weather conditions. However, a senior official from the Madras Regimental Centre at Wellington said, “Actually no trial runs by small choppers were made as the Mi-17 V 5 is a reliable aircraft.” "
" Nagpur: Teen girl, woman killed as speeding car rams into house ","PTI / Sep 13, 2021, 19:57 (IST)"," A teenage girl and a woman were killed in Nagpur after their speeding car rammed into a house along Amravati road, police said on Monday. "
" Pune: 2 dead, 2 injured as car crashes into BRTS bus stop ramp ","TNN / Dec 09, 2021, 16:19 (IST)", A teenager was among two men killed on the spot and two other youngsters were critically injured when their SUV crashed into an exit ramp of a BRTS bus stop at Kharadi near Pune in Maharashtra around half-past Wednesday midnight. 
" Uttar Pradesh: 4 killed, 36 injured after SRTC bus rams into truck in Etawah ","TNN / Aug 27, 2021, 13:48 (IST)", Four people were killed and nearly three dozen others suffered injuries after an SRTC (State Road Transport Corporation) bus rammed into a stationary truck on the six-lane highway in Bakewar area of Etawah district on the intervening night of Thursday and Friday. 
" Rajasthan: RTI activist Killed in accident, family alleges foul play ","PTI / Sep 20, 2021, 21:00 (IST)"," In September 2019, the 27-year-old RTI activist had raised his voice against corruption in developmental work being carried out in Titarwasa gram panchayat, which was adopted by Vice President Venkaiah Naidu under the MP model village scheme in May 2017. "
" Ex-CJI Ranjan Gogoi terms Nagaland incident 'mistake', cautions against hasty decision on AFSPA ","PTI / Dec 09, 2021, 22:46 (IST)",  
